Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;;Gesellschaftsspiel;"Jenga Classic (Französisch; Italienisch; Deutsch)";2476929; CHF 11.83 ;1;; CHF 11.83 ;AJ;;;;;
24.05.2024;;Gesellschaftsspiel;"Kampf gegen Das Bünzlitum (Deutsch; Schweizerdeutsch)";6489350; CHF 25.14 ;1;; CHF 25.14 ;AJ;;;;;
24.05.2024;;Gimbal;"RS 3 Pro Combo (Spiegelreflexkamera; Systemkamera; 4.50 kg)";21194240; CHF 810.71 ;1;; CHF 810.71 ;AJ;;;;;
24.05.2024;;Gimbal;"Osmo Mobile 7 (Smartphone; 0.30 kg)";54248585; CHF 71.54 ;1;; CHF 71.54 ;AJ;;;;;
24.05.2024;;Grafikkarte;GeForce RTX 3060 Gaming OC LHR (12 GB);16054338; CHF 320.63 ;1;; CHF 320.63 ;AJ;;;;;
24.05.2024;;Grafikkarte;Radeon RX 7900 XTX Pulse (24 GB);23599749; CHF 966.68 ;1;; CHF 966.68 ;AJ;;;;;
;;Grafikkarte;GeForce RTX 3060 Ventus 2X 12G OC (12 GB);14897856; CHF 240.57 ;1;; CHF 240.57 ;AJ;;;;;
;;Grafikkarte;Pulse Radeon RX 7800 XT Gaming OC (16 GB) ;37885302; CHF 421.39 ;1;; CHF 421.39 ;AJ;;;;;
;;Grafikkarte;GeForce RTX 3060 (12 GB);21053472; CHF 239.68 ;1;; CHF 239.68 ;AJ;;;;;
;;Grafikkarte;GeForce RTX 4060 Ti VENTUS 2X (16 GB);37123852; CHF 372.03 ;1;; CHF 372.03 ;AJ;;;;;
;;Grafikkarte;Radeon RX 7800 XT GAMING OC (16 GB);37860841; CHF 416.54 ;1;; CHF 416.54 ;AJ;;;;;
24.05.2024;Top 1000 Artikel;Grillthermometer;Smarter Fleisch-Thermometer Plus;12283923; CHF 84.29 ;1;; CHF 84.29 ;AJ;;;;;
24.05.2024;;Haarentfernung Zubehör;Series 3 (Scherkopf);8798847; CHF 11.79 ;1;; CHF 11.79 ;AJ;;;;;
24.05.2024;;Haarentfernung Zubehör;Kombipack 94M (Scherkopf);16387502; CHF 33.20 ;1;; CHF 33.20 ;AJ;;;;;
24.05.2024;;Haarentfernung Zubehör;Series 7 Ersatzscherkopf 70S (Scherkopf);218274; CHF 21.37 ;1;; CHF 21.37 ;AJ;;;;;
